element_mass_g,total_number_of_elements,kinetic_energy_per_element_j,passage_frequency_per_node_hz,mean_element_spacing_m,simultaneous_elements_in_guide,force_per_individual_element_n,total_mean_node_force_n
1000.0,1000000.0,72000000.0,266.42494241473054,45.04082797668468,13.296095153673523,9806.65,130381.1150056155
500.0,2000000.0,36000000.0,532.8498848294611,22.52041398834234,26.592190307347046,4903.325,130381.1150056155
100.0,10000000.0,7200000.0,2664.249424147305,4.5040827976684685,132.96095153673522,980.665,130381.1150056155
50.0,20000000.0,3600000.0,5328.49884829461,2.2520413988342343,265.92190307347045,490.3325,130381.1150056155
20.0,50000000.0,1440000.0,13321.247120736525,0.9008165595336937,664.804757683676,196.133,130381.11500561547
10.0,100000000.0,720000.0,26642.49424147305,0.45040827976684683,1329.609515367352,98.0665,130381.11500561547
5.0,200000000.0,360000.0,53284.9884829461,0.22520413988342342,2659.219030734704,49.03325,130381.11500561547
1.0,1000000000.0,72000.0,266424.9424147305,0.04504082797668468,13296.095153673521,9.80665,130381.11500561547
