node_count,l1_physical_guide_length_per_node_m,l1_total_physical_guide_length_m,l0_large_n_physical_guide_length_m,signed_relative_error,absolute_relative_error
48,1147.5960479613136,55084.61030214305,55093.079443148,-0.0001537242261741528,0.0001537242261741528
96,573.86418294666,55090.961562879354,55093.079443148,-3.844185676412673e-05,3.844185676412673e-05
192,286.940364249383,55092.54993588153,55093.079443148,-9.611139399466113e-06,9.611139399466113e-06
480,114.77707233399703,55092.99472031857,55093.079443148,-1.5378125580562853e-06,1.5378125580562853e-06
960,57.388602487558344,55093.05838805601,55093.079443148,-3.821730824897391e-07,3.821730824897391e-07
1920,28.69430946843361,55093.074179392526,55093.079443148,-9.554295257296102e-08,9.554295257296102e-08
