node_count,summed_l1_node_force_n,continuous_support_force_n,signed_relative_error,absolute_relative_error
48,12522469.102437714,12514626.907946454,0.0006266422921709452,0.0006266422921709452
96,12516587.040539088,12514626.907946454,0.0001566273295281967,0.0001566273295281967
192,12515116.915093716,12514626.907946454,3.915475474148825e-05,3.915475474148825e-05
480,12514705.30792514,12514626.907946454,6.2646676774952185e-06,6.2646676774952185e-06
960,12514646.583653988,12514626.907946454,1.572216869003264e-06,1.572216869003264e-06
1920,12514631.8268836,12514626.907946454,3.9305503719632476e-07,3.9305503719632476e-07
